csv_code,csv_name,csv_unit,idarticle,idunite,codearticle,stock_delete_clauses,inventaire_delete_clauses,log_delete_clauses,price_delete_clauses,zero_stock
16600273601,HUILE HAYAT,JERYCAN,2670,3526,0260267000,DELETE FROM tb_stock WHERE idmag=1 AND codearticle='0260267000'; DELETE FROM tb_stock WHERE idmag=2 AND codearticle='0260267000'; DELETE FROM tb_stock WHERE idmag=3 AND codearticle='0260267000',DELETE FROM tb_inventaire WHERE idmag=1 AND codearticle='0260267000' AND qtinventaire=0; DELETE FROM tb_inventaire WHERE idmag=2 AND codearticle='0260267000' AND qtinventaire=0; DELETE FROM tb_inventaire WHERE idmag=3 AND codearticle='0260267000' AND qtinventaire=0,DELETE FROM tb_log_stock WHERE idmag=1 AND codearticle='0260267000' AND ancien_stock=0 AND nouveau_stock=0 AND type_action='Entrée en stock par inventaire de départ'; DELETE FROM tb_log_stock WHERE idmag=2 AND codearticle='0260267000' AND ancien_stock=0 AND nouveau_stock=0 AND type_action='Entrée en stock par inventaire de départ'; DELETE FROM tb_log_stock WHERE idmag=3 AND codearticle='0260267000' AND ancien_stock=0 AND nouveau_stock=0 AND type_action='Entrée en stock par inventaire de départ',,TRUE
24600273001,HUILE TOURNESOL 1L,PIECE,2664,3517,0370266400,DELETE FROM tb_stock WHERE idmag=1 AND codearticle='0370266400'; DELETE FROM tb_stock WHERE idmag=2 AND codearticle='0370266400'; DELETE FROM tb_stock WHERE idmag=3 AND codearticle='0370266400',DELETE FROM tb_inventaire WHERE idmag=1 AND codearticle='0370266400' AND qtinventaire=0; DELETE FROM tb_inventaire WHERE idmag=2 AND codearticle='0370266400' AND qtinventaire=0; DELETE FROM tb_inventaire WHERE idmag=3 AND codearticle='0370266400' AND qtinventaire=0,DELETE FROM tb_log_stock WHERE idmag=1 AND codearticle='0370266400' AND ancien_stock=0 AND nouveau_stock=0 AND type_action='Entrée en stock par inventaire de départ'; DELETE FROM tb_log_stock WHERE idmag=2 AND codearticle='0370266400' AND ancien_stock=0 AND nouveau_stock=0 AND type_action='Entrée en stock par inventaire de départ'; DELETE FROM tb_log_stock WHERE idmag=3 AND codearticle='0370266400' AND ancien_stock=0 AND nouveau_stock=0 AND type_action='Entrée en stock par inventaire de départ',,TRUE
24600273101,HUILE TOURNESOL 5L,PIECE,2665,3519,0370266500,DELETE FROM tb_stock WHERE idmag=1 AND codearticle='0370266500'; DELETE FROM tb_stock WHERE idmag=2 AND codearticle='0370266500'; DELETE FROM tb_stock WHERE idmag=3 AND codearticle='0370266500',DELETE FROM tb_inventaire WHERE idmag=1 AND codearticle='0370266500' AND qtinventaire=0; DELETE FROM tb_inventaire WHERE idmag=2 AND codearticle='0370266500' AND qtinventaire=0; DELETE FROM tb_inventaire WHERE idmag=3 AND codearticle='0370266500' AND qtinventaire=0,DELETE FROM tb_log_stock WHERE idmag=1 AND codearticle='0370266500' AND ancien_stock=0 AND nouveau_stock=0 AND type_action='Entrée en stock par inventaire de départ'; DELETE FROM tb_log_stock WHERE idmag=2 AND codearticle='0370266500' AND ancien_stock=0 AND nouveau_stock=0 AND type_action='Entrée en stock par inventaire de départ'; DELETE FROM tb_log_stock WHERE idmag=3 AND codearticle='0370266500' AND ancien_stock=0 AND nouveau_stock=0 AND type_action='Entrée en stock par inventaire de départ',,TRUE
16600319301,HUILE TOURNESOL COEUR D'OR 1L,PIECE,3113,4092,0260311300,DELETE FROM tb_stock WHERE idmag=1 AND codearticle='0260311300'; DELETE FROM tb_stock WHERE idmag=2 AND codearticle='0260311300'; DELETE FROM tb_stock WHERE idmag=3 AND codearticle='0260311300',DELETE FROM tb_inventaire WHERE idmag=1 AND codearticle='0260311300' AND qtinventaire=0; DELETE FROM tb_inventaire WHERE idmag=2 AND codearticle='0260311300' AND qtinventaire=0; DELETE FROM tb_inventaire WHERE idmag=3 AND codearticle='0260311300' AND qtinventaire=0,DELETE FROM tb_log_stock WHERE idmag=1 AND codearticle='0260311300' AND ancien_stock=0 AND nouveau_stock=0 AND type_action='Entrée en stock par inventaire de départ'; DELETE FROM tb_log_stock WHERE idmag=2 AND codearticle='0260311300' AND ancien_stock=0 AND nouveau_stock=0 AND type_action='Entrée en stock par inventaire de départ'; DELETE FROM tb_log_stock WHERE idmag=3 AND codearticle='0260311300' AND ancien_stock=0 AND nouveau_stock=0 AND type_action='Entrée en stock par inventaire de départ',,TRUE
16600413401,HUILE TOURNESOL LUSSO 1L,BOUTEILLE,4019,5433,0260401900,DELETE FROM tb_stock WHERE idmag=1 AND codearticle='0260401900'; DELETE FROM tb_stock WHERE idmag=2 AND codearticle='0260401900'; DELETE FROM tb_stock WHERE idmag=3 AND codearticle='0260401900',DELETE FROM tb_inventaire WHERE idmag=1 AND codearticle='0260401900' AND qtinventaire=0; DELETE FROM tb_inventaire WHERE idmag=2 AND codearticle='0260401900' AND qtinventaire=0; DELETE FROM tb_inventaire WHERE idmag=3 AND codearticle='0260401900' AND qtinventaire=0,DELETE FROM tb_log_stock WHERE idmag=1 AND codearticle='0260401900' AND ancien_stock=0 AND nouveau_stock=0 AND type_action='Entrée en stock par inventaire de départ'; DELETE FROM tb_log_stock WHERE idmag=2 AND codearticle='0260401900' AND ancien_stock=0 AND nouveau_stock=0 AND type_action='Entrée en stock par inventaire de départ'; DELETE FROM tb_log_stock WHERE idmag=3 AND codearticle='0260401900' AND ancien_stock=0 AND nouveau_stock=0 AND type_action='Entrée en stock par inventaire de départ',,TRUE
16600367401,HUILE TOURNESOL SUNLIFE 1L,BOUTEIL,3578,4707,0260357800,DELETE FROM tb_stock WHERE idmag=1 AND codearticle='0260357800'; DELETE FROM tb_stock WHERE idmag=2 AND codearticle='0260357800'; DELETE FROM tb_stock WHERE idmag=3 AND codearticle='0260357800',DELETE FROM tb_inventaire WHERE idmag=1 AND codearticle='0260357800' AND qtinventaire=0; DELETE FROM tb_inventaire WHERE idmag=2 AND codearticle='0260357800' AND qtinventaire=0; DELETE FROM tb_inventaire WHERE idmag=3 AND codearticle='0260357800' AND qtinventaire=0,DELETE FROM tb_log_stock WHERE idmag=1 AND codearticle='0260357800' AND ancien_stock=0 AND nouveau_stock=0 AND type_action='Entrée en stock par inventaire de départ'; DELETE FROM tb_log_stock WHERE idmag=2 AND codearticle='0260357800' AND ancien_stock=0 AND nouveau_stock=0 AND type_action='Entrée en stock par inventaire de départ'; DELETE FROM tb_log_stock WHERE idmag=3 AND codearticle='0260357800' AND ancien_stock=0 AND nouveau_stock=0 AND type_action='Entrée en stock par inventaire de départ',,TRUE
16600271001,HUILE WHITE LILY OIL,JERYCAN,2647,3491,0260264700,DELETE FROM tb_stock WHERE idmag=1 AND codearticle='0260264700'; DELETE FROM tb_stock WHERE idmag=2 AND codearticle='0260264700'; DELETE FROM tb_stock WHERE idmag=3 AND codearticle='0260264700',DELETE FROM tb_inventaire WHERE idmag=1 AND codearticle='0260264700' AND qtinventaire=0; DELETE FROM tb_inventaire WHERE idmag=2 AND codearticle='0260264700' AND qtinventaire=0; DELETE FROM tb_inventaire WHERE idmag=3 AND codearticle='0260264700' AND qtinventaire=0,DELETE FROM tb_log_stock WHERE idmag=1 AND codearticle='0260264700' AND ancien_stock=0 AND nouveau_stock=0 AND type_action='Entrée en stock par inventaire de départ'; DELETE FROM tb_log_stock WHERE idmag=2 AND codearticle='0260264700' AND ancien_stock=0 AND nouveau_stock=0 AND type_action='Entrée en stock par inventaire de départ'; DELETE FROM tb_log_stock WHERE idmag=3 AND codearticle='0260264700' AND ancien_stock=0 AND nouveau_stock=0 AND type_action='Entrée en stock par inventaire de départ',,TRUE
21500395401,JELLY BEAN,BOITE,3849,5137,0040384900,DELETE FROM tb_stock WHERE idmag=1 AND codearticle='0040384900'; DELETE FROM tb_stock WHERE idmag=2 AND codearticle='0040384900'; DELETE FROM tb_stock WHERE idmag=3 AND codearticle='0040384900',DELETE FROM tb_inventaire WHERE idmag=1 AND codearticle='0040384900' AND qtinventaire=0; DELETE FROM tb_inventaire WHERE idmag=2 AND codearticle='0040384900' AND qtinventaire=0; DELETE FROM tb_inventaire WHERE idmag=3 AND codearticle='0040384900' AND qtinventaire=0,DELETE FROM tb_log_stock WHERE idmag=1 AND codearticle='0040384900' AND ancien_stock=0 AND nouveau_stock=0 AND type_action='Entrée en stock par inventaire de départ'; DELETE FROM tb_log_stock WHERE idmag=2 AND codearticle='0040384900' AND ancien_stock=0 AND nouveau_stock=0 AND type_action='Entrée en stock par inventaire de départ'; DELETE FROM tb_log_stock WHERE idmag=3 AND codearticle='0040384900' AND ancien_stock=0 AND nouveau_stock=0 AND type_action='Entrée en stock par inventaire de départ',,TRUE
21500221801,JELLY_CUP,SACHET,2167,2887,0040216700,DELETE FROM tb_stock WHERE idmag=1 AND codearticle='0040216700'; DELETE FROM tb_stock WHERE idmag=2 AND codearticle='0040216700'; DELETE FROM tb_stock WHERE idmag=3 AND codearticle='0040216700',DELETE FROM tb_inventaire WHERE idmag=1 AND codearticle='0040216700' AND qtinventaire=0; DELETE FROM tb_inventaire WHERE idmag=2 AND codearticle='0040216700' AND qtinventaire=0; DELETE FROM tb_inventaire WHERE idmag=3 AND codearticle='0040216700' AND qtinventaire=0,DELETE FROM tb_log_stock WHERE idmag=1 AND codearticle='0040216700' AND ancien_stock=0 AND nouveau_stock=0 AND type_action='Entrée en stock par inventaire de départ'; DELETE FROM tb_log_stock WHERE idmag=2 AND codearticle='0040216700' AND ancien_stock=0 AND nouveau_stock=0 AND type_action='Entrée en stock par inventaire de départ'; DELETE FROM tb_log_stock WHERE idmag=3 AND codearticle='0040216700' AND ancien_stock=0 AND nouveau_stock=0 AND type_action='Entrée en stock par inventaire de départ',,TRUE
21500221901,JELLY_STICK,SACHET,2168,2889,0040216800,DELETE FROM tb_stock WHERE idmag=1 AND codearticle='0040216800'; DELETE FROM tb_stock WHERE idmag=2 AND codearticle='0040216800'; DELETE FROM tb_stock WHERE idmag=3 AND codearticle='0040216800',DELETE FROM tb_inventaire WHERE idmag=1 AND codearticle='0040216800' AND qtinventaire=0; DELETE FROM tb_inventaire WHERE idmag=2 AND codearticle='0040216800' AND qtinventaire=0; DELETE FROM tb_inventaire WHERE idmag=3 AND codearticle='0040216800' AND qtinventaire=0,DELETE FROM tb_log_stock WHERE idmag=1 AND codearticle='0040216800' AND ancien_stock=0 AND nouveau_stock=0 AND type_action='Entrée en stock par inventaire de départ'; DELETE FROM tb_log_stock WHERE idmag=2 AND codearticle='0040216800' AND ancien_stock=0 AND nouveau_stock=0 AND type_action='Entrée en stock par inventaire de départ'; DELETE FROM tb_log_stock WHERE idmag=3 AND codearticle='0040216800' AND ancien_stock=0 AND nouveau_stock=0 AND type_action='Entrée en stock par inventaire de départ',,TRUE
