designation,issue,unit,message
KIRANILE TSOTRA,FIRST_ROW_QUANTITY,UNITE,première unité avec quantité 0.0 au lieu de 1
PATAPON MIDI ORANGE M30 (5-11KG),FIRST_ROW_QUANTITY,UNITE,première unité avec quantité 0.0 au lieu de 1
